food_id,food_name_en,ingredients_en,,description_en,,main_category_en,calorie_category,rating_avg,calories_per_100g,fats_per_100g,protein_per_100g,carbs_per_100g
1,Koshari,"Pasta, lentils, rice, tomato sauce, fried onions",,"A famous Egyptian dish combining pasta, lentils, rice, tomato sauce, and fried onions.",,Vegetarian,Medium,4.7,140,3.3,4.3,23.3
2,Molokhia,"Molokhia leaves, garlic, chicken broth",,A traditional soup made from jute leaves cooked with garlic and broth.,,Vegetarian,Low,4.5,35,0.2,3.5,6.5
3,Falafel,"Fava beans, onion, parsley, coriander",,Fried patties made from fava beans and herbs.,,Vegetarian,Medium,4.6,333,17.8,13.3,31.8
4,Fattah,"Rice, toasted bread, tomato sauce, meat",,"A celebratory Egyptian dish made with rice, toasted bread, tomato sauce, and meat.",,Meat,High,4.4,177,4.7,9.8,22.8
5,Stuffed Cabbage,"Cabbage, rice, tomato sauce, onion",,"Cabbage leaves stuffed with rice, herbs, and tomato sauce.",,Vegetarian,Medium,4.3,99,2.8,2,16.8
6,Feteer Meshaltet,"Flour, butter, water, salt",,Traditional Egyptian pastry served with honey or cheese,,Pastry,High,4.6,368,19.8,7.2,42.1
7,Duck with Orange,"Duck, orange, butter, garlic",,Duck cooked with orange sauce,,Poultry,High,4.3,337,28.4,19,0
8,Stuffed Pigeon,"Pigeon, rice, liver, onion",,Pigeon stuffed with spiced rice,,Poultry,High,4.7,194,8.1,14.9,14.3
9,Peas with Carrots,"Peas, carrots, tomato sauce",,Light dish served with rice,,Vegetarian,Low,4.2,84,0.2,5.4,15.6
10,Rice with Milk,"Rice, milk, cream, sugar",,Rice baked with milk and cream,,Dessert,High,4.5,112,2.7,3.3,19.4
11,Macarona Béchamel,"Pasta, minced meat, béchamel sauce",,Pasta with minced meat and creamy sauce,,Pasta,High,4.6,218,11.1,13.6,18.8
12,Fried Fish,"Fish, flour, oil",,Fried fish served with rice and salad,,Seafood,Medium,4.4,205,10.5,22,7.5
13,Lentil Soup,"Lentils, onion, carrot, cumin",,Warm and nutritious soup,,Soup,Low,4.7,93,0.8,7.5,15.3
14,French Fries,"Potatoes, oil, salt",,Crispy fried potatoes,,Vegetarian,High,4.8,312,14.7,3.4,41.4
15,Egyptian Sushi,"Rice, smoked fish, seaweed",,Egyptian version of sushi,,Seafood,Medium,4,143,1.4,6.1,24.1
16,Baked Potatoes,"Potatoes, butter, herbs",,Oven-baked potatoes,,Vegetarian,Medium,4.3,150,4.5,3,25
17,Okra with Meat,"Okra, meat, tomato sauce",,Okra cooked with meat,,Meat,Medium,4.6,142,7.1,14.8,9.7
18,Alexandrian Liver,"Liver, garlic, pepper, vinegar",,Spicy Alexandrian-style liver,,Meat,Medium,4.7,165,6.5,24.5,3.5
19,Creamy Chicken Soup,"Chicken, cream, onion",,Rich and warm creamy soup,,Soup,Medium,4.5,87,4.9,4.1,7.2
20,Basbousa,"Semolina, sugar, butter, syrup",,Famous oriental dessert for occasions,,Dessert,High,4.9,345,14.1,4.8,52.3
21,Stuffed Grape Leaves,"grape leaves, rice, onion, tomato, olive oil, spices",,A light oriental dish stuffed with rice and spices cooked in olive oil.,,Vegetarian,Low,4.4,99,2.8,2,16.8
22,Chicken Kabsa,"chicken, basmati rice, tomato, kabsa spices, onion",,A famous Saudi dish of spiced rice and chicken.,,Poultry,Medium,4.7,162,5.4,12.8,18.7
23,Grilled Fish,"fish, lemon, garlic, oil, spices",,Fresh grilled fish seasoned with herbs and lemon.,,Seafood,Medium,4.8,124,2.7,23,0
24,Fattoush Salad,"lettuce, tomato, cucumber, onion, toasted bread, pomegranate molasses",,A refreshing Levantine salad with toasted bread and pomegranate molasses.,,Vegetarian,Low,4.6,85,3.5,2.5,13
25,Margherita Pizza,"dough, mozzarella cheese, tomato, basil",,Classic Italian pizza with tomato and basil flavor.,,Pastry,High,4.5,276,13.8,11.2,27.9
26,Kunafa,"vermicelli, cheese, syrup, ghee",,Traditional dessert with crispy layers and cheese filling.,,Dessert,High,4.9,350,18.2,7.4,42.8
28,Tomato Soup,"tomato, onion, garlic, olive oil, salt",,A simple and comforting tomato-flavored soup.,,Soup,Low,4.3,52,1.4,1.9,8.9
29,Molokhia with Rabbit,"molokhia, rabbit, garlic, coriander, broth",,Traditional Egyptian dish made from molokhia and rabbit.,,Meat,Medium,4.8,35,0.2,3.5,6.5
30,Tabbouleh Salad,"bulgur, parsley, mint, tomato, lemon",,A refreshing Levantine salad rich in herbs and lemon flavor.,,Vegetarian,Low,4.5,80,4,2.5,10
31,Peas with Carrots Stew and meat,"peas, carrots, minced meat, tomato",,A homemade-style stew of peas and carrots with tomato sauce and meat.,,Meat,Medium,4.4,133,6.8,12.7,7.9
32,Mashed Potatoes,"potatoes, milk, butter, salt",,Smooth mashed potatoes served as a side dish.,,Vegetarian,Medium,4.3,120,5,2.5,16
33,Green Salad,"lettuce, tomato, cucumber, carrot, olive oil",,A simple and refreshing salad served alongside most dishes.,,Vegetarian,Low,4.6,25,1.5,1.5,3
34,Minced Meat Pizza,"dough, minced meat, onion, pepper, cheese",,"A rich, meaty pizza with Arabic flavor.",,Pastry,High,4.7,276,13.8,11.2,27.9
35,Moussaka,"eggplant, minced meat, tomato, onion, garlic",,Traditional Egyptian dish of fried eggplant with minced meat and tomato sauce.,,Meat,Medium,4.6,250,15,26,0
38,Veggie Pizza,"dough, tomato, bell pepper, olives, cheese, mushroom",,Vegetarian pizza loaded with fresh vegetables.,,Pastry,Medium,4.6,276,13.8,11.2,27.9
40,Meat Goulash,"filo pastry, minced meat, onion, butter, egg",,Crispy Egyptian pie stuffed with minced meat.,,Pastry,High,4.8,312,16.4,7.8,36.2
41,Pepperoni Pizza,"dough, mozzarella, tomato sauce, pepperoni",,One of the most famous pizzas with the taste of pepperoni.,,Pastry,High,4.8,312,16.4,7.8,36.2
42,BBQ Chicken Pizza,"dough, chicken, BBQ sauce, cheese, red onion",,Pizza with rich BBQ flavor and grilled chicken.,,Pastry,High,4.7,276,13.8,11.2,27.9
43,Caesar Salad,"lettuce, grilled chicken, parmesan, croutons, caesar dressing",,Famous salad with grilled chicken and caesar dressing.,,Poultry,Medium,4.8,185,14,10,7
45,Foul Medames,"fava beans, oil, tomato, lemon, cumin",,A traditional Egyptian dish made from slow-cooked fava beans.,,Vegetarian,Medium,4.9,110,0.7,7.6,19.7
46,Singari Fish,"fish, tomato, onion, garlic, lemon",,Grilled Alexandrian-style fish with tangy flavors.,,Seafood,Medium,4.8,116,2.6,22,1.7
47,Baked Pasta with Meat,"pasta, minced meat, cheese, tomato sauce",,Baked pasta topped with cheese and rich tomato sauce.,,Pasta,High,4.6,124,2.9,4.2,20.8
48,Vegetable Omelette,"eggs, onion, pepper, tomato, parsley",,"A light, nutritious meal with eggs and fresh vegetables.",,Vegetarian,Medium,4.4,150,10,9.5,5
49,Egyptian Beef Stew,"beef, onion, spices, oil, pepper",,Traditional Egyptian beef stew cooked slowly with onions and spices.,,Meat,Medium,4.9,258,16.5,25.6,0
50,Creamy Chicken Soup,"chicken, cream, onion, black pepper",,Warm creamy soup with tender chicken pieces.,,Soup,High,4.7,87,4.9,4.1,7.2
51,Yellow Lentil Koshari,"rice, yellow lentils, pasta, fried onion",,A lighter version of Egyptian Koshari using yellow lentils.,,Vegetarian,Medium,4.5,140,3.3,4.3,23.3
52,Shrimp Curry,"shrimp, curry, coconut, garlic, onion",,A flavorful seafood dish with Indian spices and coconut milk.,,Seafood,High,4.5,99,0.3,24,0.2
53,Greek Salad,"cucumber, tomato, olives, feta cheese, olive oil",,"A light, refreshing salad with Mediterranean flavors.",,Vegetarian,Low,4.6,265,21.5,14.2,3.9
54,Mahalabia,"milk, starch, sugar, vanilla, nuts",,A smooth and beloved Middle Eastern dessert.,,Dessert,High,4.7,119,3.9,3.8,18.2
55,Zucchini Gratin,"zucchini, bechamel, cheese, milk",,A light and healthy dish rich in calcium.,,Vegetarian,Medium,4.2,218,11.1,13.6,18.8
56,Tori Casserole,"Potatoes, zucchini, eggplant, carrots, tomato sauce",,An Egyptian mixed vegetable casserole baked in tomato sauce,,Vegetarian,Low,4.5,65,2.5,2,10
59,Fattah Kawarea,"Cow trotters, rice, toasted bread, garlic, vinegar",,"Traditional Egyptian dish made with cow trotters, rice, and garlic vinegar sauce",,Meat,High,4.8,177,4.7,9.8,22.8
60,Mombar,"Intestines, rice, onions, tomatoes, spices",,Stuffed beef intestines filled with rice and spices,,Meat,High,4.7,280,22,17,3
62,Zalabia,"Flour, sugar, yeast, oil, syrup",,Fried dough balls dipped in syrup,,Dessert,High,4.8,350,18,4.5,45
63,Eggs with Onions and Tomato,"Eggs, onion, tomato, oil",,Egyptian-style scrambled eggs with onion and tomato,,Vegetarian,Medium,4.6,155,11,9,5
64,Foul with Tomato & Chili,"Fava beans, tomato, chili, oil",,Fava beans sautéed with tomato and chili,,Vegetarian,Medium,4.5,115,1,7.5,20
65,Alexandrian Sausage,"Local sausage, onion, pepper, tomato",,"Sausages stir-fried with vegetables, Alexandrian style",,Meat,Medium,4.6,301,25.6,17.9,1.8
66,Konafa with Cream,"Konafa, cream, sugar, butter",,Konafa filled with cream and nuts,,Dessert,High,4.9,350,18.2,7.4,42.8
67,Okra Stew with Lamb,"Okra, lamb, tomato sauce",,Okra and lamb stew baked in a clay pot,,Meat,Medium,4.7,142,7.1,14.8,9.7
70,Baba Ghanoush,"Roasted eggplant, tahini, garlic, lemon",,Mashed roasted eggplant salad with tahini,,Vegetarian,Low,4.7,107,8.9,2.4,6.2
72,Upper Egypt Kishk,"Milk, flour, fried onions",,"Upper Egyptian dish made from milk, flour, and fried onions",,Vegetarian,Medium,4.5,130,4.5,6.5,17
73,Pumpkin with Béchamel,"Pumpkin, sugar, béchamel, milk",,Egyptian dessert made with pumpkin and béchamel,,Dessert,High,4.8,218,11.1,13.6,18.8
74,Orzo with Liver & Gizzards,"Orzo pasta, liver, gizzards, onion",,Popular Egyptian orzo with liver and gizzards,,Meat,Medium,4.5,195,10,20,4
75,Sayadeya Rice,"Rice, fish, onion, sauce",,Egyptian fish rice with caramelized onions,,Seafood,Medium,4.8,158,4.2,15.3,17.9
76,Eid Kahk,"Flour, butter, powdered sugar, sesame",,Traditional Egyptian Eid cookies,,Dessert,High,4.9,445,22,7,57
77,Vanilla Mahalabia,"Milk, starch, sugar, vanilla",,Egyptian milk pudding flavored with vanilla,,Dessert,Medium,4.7,119,3.9,3.8,18.2
78,Soft Oras Bread,"Flour, butter, milk, yeast",,Soft Egyptian bread served with honey or cheese,,Pastry,Medium,4.8,312,16.4,7.8,36.2
79,Moussaka with Béchamel,"Eggplant, minced meat, béchamel",,Egyptian moussaka baked with béchamel,,Meat,High,4.8,218,11.1,13.6,18.8
80,Alexandrian Koshari,"Pasta, lentils, potatoes, chili",,Alexandrian version of koshari without rice,,Vegetarian,Medium,4.7,140,3.3,4.3,23.3
81,Karkade (Hibiscus Drink),"Dried hibiscus flowers, water, sugar",,"A popular, tangy, and refreshing Egyptian drink, served hot or cold.",,Juices & Cold Drinks,Medium,4.7,37,0,0.4,9.1
82,Tamarind Drink,"Tamarind paste, water, sugar",,"A classic Ramadan drink, known for its sweet and sour taste.",,Juices & Cold Drinks,Medium,4.6,47,0.1,0.4,11.8
83,Khoshaf,"Dried figs, dates, apricots, raisins, nuts, water/milk",,"A sweet fruit salad drink, traditionally served in Ramadan.",,Ramadan Drinks,Medium,4.8,150,0.5,1.5,35
84,Sugarcane Juice,Sugarcane stalks,,One of the most common and refreshing street drinks in Egypt.,,Juices & Cold Drinks,High,4.5,76,0,0.1,19.2
85,Sahlab,"Milk, sahlab powder (starch), sugar, topped with nuts and cinnamon",,"A thick, creamy, warm winter drink, very popular in cold weather.",,Hot Drinks,High,4.7,98,3.2,3.1,14.7
86,Turkish Coffee,"Fine ground coffee, water, sugar (optional)",,"The traditional way of preparing coffee in Egypt, served in a small cup.",,Hot Drinks,Low,4.4,1,0,0.1,0
87,Mint Tea,"Black tea, water, sugar, fresh mint leaves",,"The daily ritual hot drink in Egypt, usually strong and sweet.",,Hot Drinks,Low,4.6,1,0,0,0.3
88,Doum Drink,"Ground doum fruit, water, sugar",,"A slightly sweet and earthy flavored drink, typically served cold.",,Juices & Cold Drinks,Medium,4.5,49,0.1,0.4,12.1
89,Sobia,"Rice/Bread soaked in water, coconut milk, sugar, vanilla",,"A sweet, creamy, coconut-flavored drink, a Ramadan staple.",,Ramadan Drinks,Medium,4.6,89,1.8,1.6,17.2
90,Helba (Fenugreek Drink),"Fenugreek seeds, water, honey or sugar",,"A warm, herbal, slightly bitter drink, often consumed for its health benefits.",,Hot Drinks,Medium,4.3,26,0.4,1.8,4.3
91,Banana with Milk Juice,"Banana, milk, sugar, ice",,"A creamy and nutritious classic Egyptian juice, often served blended cold.",,Juices & Cold Drinks,High,4.8,49,0.1,0.4,12.1
92,Mango Juice,"Mango fruit, water, sugar (optional)",,"The king of Egyptian summer juices, usually thick and rich.",,Juices & Cold Drinks,Medium,4.9,60,0.2,0.4,14.8
93,Guava Juice,"Guava fruit, milk, sugar",,"A popular thick, sweet, and milky juice, often served cold.",,Juices & Cold Drinks,Medium,4.7,52,0.4,0.6,12.3
94,Lemon with Mint Juice,"Lemon juice, water, sugar, fresh mint",,"A highly refreshing cold drink, famous for its cooling effect.",,Juices & Cold Drinks,Low,4.6,22,0.1,0.3,6.9
95,Carob (Kharoub) Drink,"Carob pods, water, sugar",,"A dark, sweet, and refreshing drink, another Ramadan favorite.",,Ramadan Drinks,Medium,4.5,49,0.1,0.4,12.1
